metric,count,mean,median,std,min,p10,p25,p75,p90,max,win_rate,tie_rate,loss_rate,mean_ci_low,mean_ci_high,slice_name,slice_value,num_scenes
delta_selected_time_to_collision_within_bound,2134,-0.007966260543580132,0.0,0.1689222525674209,-1.0,0.0,0.0,0.0,0.0,1.0,0.010309278350515464,0.971415182755389,0.018275538894095594,-0.015463917525773196,-0.0009372071227741331,maneuver,left,2134
delta_selected_comfort,2134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,maneuver,left,2134
delta_selected_driving_direction_compliance,2134,0.0072633552014995315,0.0,0.1839013295570069,-1.0,0.0,0.0,0.0,0.0,1.0,0.05388940955951265,0.9053420805998126,0.04076850984067479,-0.00024015932521087127,0.014761012183692596,maneuver,left,2134
delta_score,1318,0.004367553197986483,0.0,0.2043867690887062,-1.0,-0.04786887588190404,-0.017722228759419256,0.01991285233689921,0.05173792654933885,1.0,0.40440060698027314,0.20257966616084977,0.3930197268588771,-0.007059890589285668,0.015605658954388093,maneuver,right,1318
delta_oracle_score,1318,-0.0026847885078190403,0.0,0.05187640275827794,-1.0,-0.00017563462852693176,0.0,0.0,0.0,0.41666666666666663,0.09256449165402124,0.8065250379362671,0.10091047040971168,-0.0059140970769901375,-0.00010635003433635715,maneuver,right,1318
delta_ranking_ability,1318,0.007052341705805529,0.0,0.2069846625643282,-1.0,-0.05185494074264487,-0.019259619235258617,0.021079900825227992,0.05967358871326636,1.0,0.3983308042488619,0.20030349013657056,0.4013657056145675,-0.004002650474183684,0.017764662028531022,maneuver,right,1318
delta_selected_no_at_fault_collisions,1318,-0.00037936267071320183,0.0,0.1314304523141166,-1.0,0.0,0.0,0.0,0.0,1.0,0.009863429438543247,0.9810318664643399,0.009104704097116844,-0.007587253414264037,0.006828528072837633,maneuver,right,1318
delta_selected_drivable_area_compliance,1318,0.0030349013657056147,0.0,0.16983591257923855,-1.0,0.0,0.0,0.0,0.0,1.0,0.015933232169954476,0.9711684370257967,0.012898330804248861,-0.006828528072837633,0.012139605462822459,maneuver,right,1318
delta_selected_ego_progress,1318,0.007240226185054384,0.0,0.19261835652454296,-1.0,-0.09935175175352227,-0.03693513197879167,0.04492919045731736,0.11102314334457249,1.0,0.3990895295902883,0.22230652503793627,0.37860394537177544,-0.0024098331846824205,0.017702342950174817,maneuver,right,1318
delta_selected_time_to_collision_within_bound,1318,0.002276176024279211,0.0,0.23542264207992625,-1.0,0.0,0.0,0.0,0.0,1.0,0.028831562974203338,0.9446130500758725,0.026555386949924126,-0.009863429438543247,0.015174506828528073,maneuver,right,1318
